Bestellnummer,Hersteller,Werkstoff,Oesenform,d[mm] Drahtdurchmesser,De[mm] Ausserer Windungsdurchmesser,Detol[mm] (+-) Tolereanz fuer ausseren Windungsdurchmesser,Dh[mm] Kleinster Huelsendurchmesser,Oesenstellung,Oesensttol,L0[mm] Laenge unbelastete Feder,L0tol[mm] (+-) Toleranz fuer ungespannte Laenge,Lk[mm] Laenge der unbelasteten Feder,Lh[mm] Abstand der Oeseninnenkante vom Federkoerper,F0[N] Innere Vorspannkraft,Fn[N] Hoechstkraft bei statischer Belastung,Fntol[N] (+-) Toleranz bei statischer Hoechstkraft,k[N/mm] Federrate,Sn[mm] Groesster Federweg bei statischer Belastung,Masse,Preisgruppe,W[Nmm] Federungsarbeit,Ln[mm] Maximal zulaessige Laenge,Lr[mm] Relevante Laenge,Lf[mm] Freie Laenge,V[Nmm] Maximale potentielle Energie
RZ-127CI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,11.6,0.25,14.3,180,44,117,2,103.2,6.9,7.911,102.6,7.05,0.903,104.95,32.59,ZL,5799.064725,221.95,113.6212625,108.3287375,5828.770764
RZ-127CX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,11.6,0.25,14.3,270,44,117,2,103.6,6.7,7.911,102.6,7.04,0.899,105.36,32.714,ZL,5821.71948,222.36,114.1268076,108.2331924,5854.705228
RZ-127DI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,11.6,0.25,14.3,180,47,130,2,116,7,7.911,102.6,6.98,0.802,118.17,36.585,ZL,6529.542435,248.17,127.9301746,120.2398254,6562.817955
RZ-127DX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,11.6,0.25,14.3,270,47,130,2,116.4,6.8,7.911,102.6,6.97,0.799,118.59,36.71,ZL,6552.749745,248.59,128.4105131,120.1794869,6587.459324
RZ-127EI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,11.6,0.25,14.3,180,49,143,2,128.8,7.1,7.911,102.6,6.91,0.721,131.39,40.581,ZM,7260.020145,274.39,142.3023578,132.0876422,7300.110957
RZ-127EX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,11.6,0.25,14.3,270,49,143,2,129.2,6.9,7.911,102.6,6.91,0.719,131.81,40.706,ZM,7283.227455,274.81,142.6981919,132.1118081,7320.417246
RZ-127I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,11.6,0.25,14.3,180,35,79,1.5,64.8,7.1,7.911,102.6,7.48,1.452,65.28,20.603,ZJ,3607.07904,144.28,70.66115702,73.61884298,3624.917355
RZ-127X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,11.6,0.25,14.3,270,35,79,1.5,65.2,6.9,7.911,102.6,7.47,1.443,65.7,20.727,ZJ,3630.28635,144.7,71.1018711,73.5981289,3647.525988
RZ-128I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,18,31,0.8,20,5.5,9.511,121.7,15.15,9.739,11.53,5.294,ZH,756.431415,42.53,12.4961495,30.0338505,760.3906972
RZ-128X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,18,31,0.8,20.4,5.3,9.511,121.7,15.04,9.532,11.78,5.394,ZH,772.83279,42.78,12.76751993,30.01248007,776.9035879
RZ-129AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,29,61.4,1.1,50.4,5.5,9.511,121.7,11.76,3.672,30.57,12.886,ZJ,2005.560135,91.97,33.14270153,58.82729847,2016.733388
RZ-129AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,30,61.4,1.1,50.8,5.3,9.511,121.7,11.74,3.642,30.82,12.986,ZJ,2021.96151,92.22,33.41570566,58.80429434,2033.345689
RZ-129I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,26,51.8,1.1,40.8,5.5,9.511,121.7,12.35,4.571,24.55,10.489,ZH,1610.615025,76.35,26.62437103,49.72562897,1620.092977
RZ-129X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,27,51.8,1.1,41.2,5.3,9.511,121.7,12.32,4.525,24.8,10.589,ZH,1627.0164,76.6,26.89502762,49.70497238,1636.562431
RZ-130AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,36,87,1.5,76,5.5,9.511,121.7,10.94,2.409,46.6,19.279,ZK,3057.2163,133.6,50.51888751,83.08111249,3074.074305
RZ-130AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,37,87,1.5,76.4,5.3,9.511,121.7,10.93,2.396,46.85,19.379,ZK,3073.617675,133.85,50.79298831,83.05701169,3090.753339
RZ-130BI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,39,98.2,1.5,87.2,5.5,9.511,121.7,10.73,2.094,53.62,22.076,ZK,3517.76691,151.82,58.11843362,93.70156638,3536.506686
RZ-130BX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,39,98.2,1.5,87.6,5.3,9.511,121.7,10.73,2.084,53.87,22.176,ZK,3534.168285,152.07,58.39731286,93.67268714,3553.476488
RZ-130CI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,42,111,2,100,5.5,9.511,121.7,10.6,1.821,61.64,25.273,ZK,4043.92302,172.64,66.83141131,105.8085887,4066.691378
RZ-130CX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,42,111,2,100.4,5.3,9.511,121.7,10.59,1.814,61.89,25.372,ZK,4060.324395,172.89,67.0893054,105.8006946,4082.384234
RZ-130DI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,45,123,2,112.8,5.1,9.511,121.7,10.48,1.611,69.65,28.469,ZL,4569.423075,192.65,75.54314091,117.1068591,4596.800124
RZ-130DX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,45,123,2,113.2,4.9,9.511,121.7,10.48,1.606,69.9,28.569,ZL,4585.82445,192.9,75.77833126,117.1216687,4611.111457
RZ-130E-01I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,8,0.35,10.8,180,15,23.6,0.6,15.2,4.2,14.2,142.2,26.92,25.735,4.98,3.276,ZH,389.436,28.58,5.525548863,23.05445114,392.8665242
RZ-130E-01X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,8,0.35,10.8,270,15,23.6,0.6,15.6,4,14.2,142.2,26.57,25,5.12,3.356,ZH,400.384,28.72,5.688,23.032,404.4168
RZ-130E-02I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,8,0.35,10.8,180,20,33.2,0.8,24.8,4.2,14.2,142.2,21.9,15.086,8.49,5.194,ZH,663.918,41.69,9.425957842,32.26404216,670.1856025
RZ-130E-02X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,8,0.35,10.8,270,20,33.2,0.8,25.2,4,14.2,142.2,21.81,14.831,8.64,5.274,ZH,675.648,41.84,9.588025083,32.25197492,681.7085834
RZ-130E-03I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,8,0.35,10.8,180,25,46,1.1,37.6,4.2,14.2,142.2,19.6,9.722,13.18,7.752,ZH,1030.676,59.18,14.62662004,44.55337996,1039.952685
RZ-130E-03X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,8,0.35,10.8,270,25,46,1.1,38,4,14.2,142.2,19.55,9.615,13.32,7.832,ZH,1041.624,59.32,14.78939158,44.53060842,1051.525741
RZ-130E-10I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,180,22,53.5,1.3,18.9,17.3,3.7,73.5,5.04,0.884,79,15.787,ZJ,3049.4,132.5,83.14479638,49.35520362,3055.571267
RZ-130E-10X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,270,22,53.5,1.3,19.35,17.075,3.7,73.5,5.04,0.861,81,16.138,ZJ,3126.6,134.5,85.36585366,49.13414634,3137.195122
RZ-130E-11I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,180,30,64.2,1.8,29.7,17.25,3.7,73.5,4.7,0.542,128.9,24.207,ZK,4975.54,193.1,135.6088561,57.49114391,4983.625461
RZ-130E-11X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,270,30,64.2,1.8,30.15,17.025,3.7,73.5,4.7,0.533,130.9,24.558,ZK,5052.74,195.1,137.8986867,57.20131332,5067.776735
RZ-130E-12I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,180,37,80.3,1.8,45.9,17.2,3.7,73.5,4.6,0.343,203.7,36.837,ZK,7862.82,284,214.2857143,69.71428571,7875
RZ-130E-12X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,270,37,80.3,1.8,46.35,16.975,3.7,73.5,4.6,0.339,205.8,37.188,ZK,7943.88,286.1,216.8141593,69.28584071,7967.920354
RZ-130E-13I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,180,46,107.5,2.4,72.9,17.3,3.7,73.5,4.5,0.212,328.4,57.887,ZL,12676.24,435.9,346.6981132,89.20188679,12741.15566
RZ-130E-13X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,270,46,107.5,2.4,73.35,17.075,3.7,73.5,4.5,0.211,330.5,58.238,ZL,12757.3,438,348.3412322,89.65876777,12801.54028
RZ-130E-14I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,180,58,143.5,2.4,108.9,17.3,3.7,73.5,4.5,0.141,494.7,85.953,ZL,19095.42,638.2,521.2765957,116.9234043,19156.91489
RZ-130E-14X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,270,58,143.5,2.4,109.35,17.075,3.7,73.5,4.5,0.141,496.8,86.304,ZL,19176.48,640.3,521.2765957,119.0234043,19156.91489
RZ-130E-15I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,180,66,178,3,143.1,17.45,3.7,73.5,4.5,0.107,652.7,112.616,ZM,25194.22,830.7,686.9158879,143.7841121,25244.15888
RZ-130E-15X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,24,0.45,27,270,66,178,3,143.55,17.225,3.7,73.5,4.5,0.107,654.7,112.967,ZM,25271.42,832.7,686.9158879,145.7841121,25244.15888
RZ-130EI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,47,136,2,125.6,5.2,9.511,121.7,10.38,1.445,77.67,31.666,ZL,5095.579185,213.67,84.22145329,129.4485467,5124.875433
RZ-130EX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,47,136,2,126,5,9.511,121.7,10.37,1.44,77.92,31.765,ZL,5111.98056,213.92,84.51388889,129.4061111,5142.670139
RZ-130FI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,180,20,46,1.3,18.9,13.55,5.511,84.95,6.92,1.604,49.53,12.943,ZJ,2240.266665,95.53,52.96134663,42.56865337,2249.533198
RZ-130FX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,270,20,46,1.3,19.35,13.32,5.511,84.95,6.85,1.563,50.84,13.23,ZJ,2299.51862,96.84,54.35060781,42.48939219,2308.542067
RZ-130GI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,180,26,56.8,1.3,29.7,13.55,5.511,84.95,5.95,0.983,80.82,19.846,ZJ,3655.52901,137.62,86.41912513,51.20087487,3670.65234
RZ-130GX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,270,26,56.8,1.3,30.15,13.32,5.511,84.95,5.92,0.967,82.12,20.133,ZJ,3714.32866,138.92,87.84901758,51.07098242,3731.387022
RZ-130HI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,180,32,73,1.8,45.9,13.55,5.511,84.95,5.39,0.622,127.74,30.2,ZL,5777.74407,200.74,136.5755627,64.1644373,5801.047026
RZ-130HX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,270,32,73,1.8,46.35,13.32,5.511,84.95,5.38,0.616,129.05,30.487,ZL,5836.996025,202.05,137.9058442,64.14415584,5857.550731
RZ-130I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,180,34,75.8,1.5,64.8,5.5,9.511,121.7,11.26,2.835,39.54,16.482,ZJ,2594.04147,115.34,42.92768959,72.41231041,2612.149912
RZ-130JI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,180,41,100,1.8,72.9,13.55,5.511,84.95,4.96,0.386,205.95,47.457,ZM,9315.221475,305.95,220.0777202,85.87227979,9347.801166
RZ-130JX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,270,41,100,1.8,73.35,13.32,5.511,84.95,4.96,0.383,207.25,47.744,ZM,9374.021125,307.25,221.8015666,85.44843342,9421.02154
RZ-130K-01I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,180,52,145,2.4,117.9,13.55,5.511,84.95,4.69,0.236,336.3,76.219,ZP,15211.01715,481.3,359.9576271,121.3423729,15289.20021
RZ-130K-01X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,270,52,145,2.4,118.35,13.32,5.511,84.95,4.69,0.235,337.6,76.506,ZP,15269.8168,482.6,361.4893617,121.1106383,15354.26064
RZ-130K-02I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,180,58,170,3,143.1,13.45,5.511,84.95,4.61,0.194,409.3,92.325,ZR,18512.84365,579.3,437.8865979,141.4134021,18599.23325
RZ-130K-02X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,270,58,170,3,143.55,13.22,5.511,84.95,4.61,0.194,410.6,92.613,ZR,18571.6433,580.6,437.8865979,142.7134021,18599.23325
RZ-130K-03I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,180,34,84.6,1.5,63.9,10.35,7.911,105,6.56,0.93,104.46,32.539,ZM,5897.34153,189.06,112.9032258,76.15677419,5927.419355
RZ-130K-03X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,270,34,84.6,1.5,64.35,10.12,7.911,105,6.55,0.923,105.22,32.763,ZM,5940.24771,189.82,113.75948,76.06052004,5972.372698
RZ-130K-04I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,180,40,109,2,89.1,9.95,7.911,105,6.22,0.661,146.85,45.105,ZN,8290.490175,255.85,158.8502269,96.99977307,8339.636914
RZ-130K-04X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,270,40,109,2,89.55,9.72,7.911,105,6.22,0.658,147.61,45.33,ZN,8333.396355,256.61,159.5744681,97.03553191,8377.659574
RZ-130K-05I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,180,45,134,2,112.5,10.75,7.911,105,6.09,0.522,186.22,56.774,ZP,10513.14321,320.22,201.1494253,119.0705747,10560.34483
RZ-130K-05X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,270,45,134,2,112.95,10.52,7.911,105,6.09,0.519,186.97,56.999,ZP,10555.48484,320.97,202.3121387,118.6578613,10621.38728
RZ-130K-06I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,180,50,159,2,137.7,10.65,7.911,105,5.99,0.425,228.61,69.341,ZR,12906.29186,387.61,247.0588235,140.5511765,12970.58824
RZ-130K-06X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,270,50,159,2,138.15,10.42,7.911,105,5.98,0.423,229.36,69.565,ZR,12948.63348,388.36,248.2269504,140.1330496,13031.91489
RZ-130K-20I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,180,20,45,1.1,24.3,10.35,7.911,105,7.16,2.566,37.8,12.791,ZL,2134.0179,82.8,40.91971941,41.88028059,2148.285269
RZ-130K-20X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,270,20,45,1.1,24.75,10.13,7.911,105,7.16,2.516,38.6,13.015,ZL,2179.1823,83.6,41.73290938,41.86709062,2190.977742
RZ-130K-21I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,180,27,63,1.1,42.3,10.35,7.911,105,6.85,1.426,68.1,21.767,ZL,3844.61955,131.1,73.63253857,57.46746143,3865.708275
RZ-130K-21X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,16,0.3,19,270,27,63,1.1,42.75,10.13,7.911,105,6.85,1.41,68.9,21.992,ZL,3889.78395,131.9,74.46808511,57.43191489,3909.574468
RZ-130KI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,180,40,136,2.4,108.9,13.55,5.511,84.95,4.72,0.256,310.23,70.466,ZO,14031.85802,446.23,331.8359375,114.3940625,14094.73145
RZ-130KX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,20,0.45,23.2,270,50,136,2.4,109.35,13.32,5.511,84.95,4.72,0.255,311.53,70.754,ZO,14090.65767,447.53,333.1372549,114.3927451,14150.0049
RZ-130LI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,180,17,33.2,0.8,18.9,7.15,11,137,15.6,9.111,13.83,7.254,ZJ,1023.42,47.03,15.03676874,31.99323126,1030.018659
RZ-130LX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,270,17,33.2,0.8,19.35,6.92,11,137,15.42,8.877,14.2,7.415,ZJ,1050.8,47.4,15.43314183,31.96685817,1057.170215
RZ-130MI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,180,21,44,1.1,29.7,7.15,11,137,13.25,5.584,22.57,11.122,ZJ,1670.18,66.57,24.53438395,42.03561605,1680.605301
RZ-130MX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,270,22,44,1.1,30.15,6.92,11,137,13.2,5.496,22.94,11.283,ZJ,1697.56,66.94,24.9272198,42.0127802,1707.514556
RZ-130NI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,180,27,60.2,1.1,45.9,7.15,11,137,11.92,3.533,35.68,16.925,ZK,2640.32,95.88,38.77724314,57.10275686,2656.241155
RZ-130NX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,270,27,60.2,1.1,46.35,6.92,11,137,11.89,3.497,36.04,17.086,ZK,2666.96,96.24,39.17643695,57.06356305,2683.585931
RZ-130OI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,180,34,87.2,1.5,72.9,7.15,11,137,10.9,2.191,57.52,26.597,ZL,4256.48,144.72,62.52852579,82.19147421,4283.204016
RZ-130OX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,270,34,87.2,1.5,73.35,6.92,11,137,10.89,2.178,57.89,26.758,ZL,4283.86,145.09,62.90174472,82.18825528,4308.769513
RZ-130PI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,180,42,123,2,108.9,7.05,11,137,10.31,1.455,86.65,39.492,ZN,6412.1,209.65,94.1580756,115.4919244,6449.828179
RZ-130PX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,12,0.3,15,270,42,123,2,109.35,6.82,11,137,10.31,1.449,87.01,39.653,ZN,6438.74,210.01,94.54796411,115.4620359,6476.535542
RZ-130QI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,180,16,28.4,0.8,18.9,4.75,22.7,175.9,31.29,25.905,5.92,5.12,ZJ,587.856,34.32,6.790194943,27.52980506,597.1976452
RZ-130QX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,270,16,28.4,0.8,19.35,4.52,22.7,175.9,30.91,25.24,6.07,5.234,ZJ,602.751,34.47,6.969096672,27.50090333,612.9320523
RZ-130RI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,180,20,39.2,0.8,29.7,4.75,22.7,175.9,26.34,15.877,9.65,7.851,ZJ,958.245,48.85,11.07891919,37.77108081,974.3909429
RZ-130RX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,270,21,39.2,0.8,30.15,4.52,22.7,175.9,26.23,15.625,9.81,7.965,ZJ,974.133,49.01,11.2576,37.7524,990.10592
RZ-130SI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,180,26,55.4,1.1,45.9,4.75,22.7,175.9,23.51,10.045,15.26,11.947,ZK,1515.318,70.66,17.5111996,53.1488004,1540.110005
RZ-130SX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,270,26,55.4,1.1,46.35,4.52,22.7,175.9,23.45,9.943,15.41,12.061,ZK,1530.213,70.81,17.69083778,53.11916222,1555.909182
RZ-130TI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,180,33,82.4,1.5,72.9,4.75,22.7,175.9,21.35,6.23,24.6,18.774,ZL,2442.78,107,28.23434992,78.76565008,2483.211075
RZ-130TX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,270,33,82.4,1.5,73.35,4.52,22.7,175.9,21.32,6.191,24.76,18.888,ZL,2458.668,107.16,28.41221127,78.74778873,2498.853982
RZ-130UI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,180,40,118,2,108.9,4.55,22.7,175.9,20.1,4.136,37.06,27.877,ZM,3680.058,155.06,42.52901354,112.5309865,3740.426741
RZ-130UX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.8,9,0.35,12.1,270,40,118,2,109.35,4.32,22.7,175.9,20.1,4.119,37.21,27.991,ZM,3694.953,155.21,42.70453994,112.5054601,3755.864287
RZ-130X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,1.6,9.6,0.25,12.3,270,34,75.8,1.5,65.2,5.3,9.511,121.7,11.24,2.818,39.84,16.582,ZJ,2613.72312,115.64,43.1866572,72.4533428,2627.908091
RZ-131I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,27,0.45,30.5,180,25,62.8,1.3,25,18.9,5.501,84.86,6.87,0.779,101.86,25.851,ZK,4602.08573,164.66,108.9345315,55.72546855,4622.092169
RZ-131X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,27,0.45,30.5,270,26,62.8,1.3,25.5,18.65,5.501,84.86,6.83,0.763,104.08,26.339,ZK,4702.38644,166.88,111.2188729,55.66112713,4719.016776
RZ-132I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,27,0.45,30.5,180,33,78.8,1.8,41,18.9,5.501,84.86,5.96,0.46,172.73,41.459,ZM,7804.027765,251.53,184.4782609,67.05173913,7827.412609
RZ-132X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,27,0.45,30.5,270,33,78.8,1.8,41.5,18.65,5.501,84.86,5.94,0.454,174.94,41.947,ZM,7903.87667,253.74,186.9162996,66.82370044,7930.85859
RZ-133AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,27,0.45,30.5,180,55,146,2.4,109,18.5,5.501,84.86,5.02,0.168,473.89,107.793,ZQ,21410.58715,619.89,505.1190476,114.7709524,21432.20119
RZ-133AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,27,0.45,30.5,270,55,146,2.4,109.5,18.25,5.501,84.86,5.01,0.167,476.11,108.281,ZQ,21510.88786,622.11,508.1437126,113.9662874,21560.53772
RZ-133I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,27,0.45,30.5,180,47,118,2.4,81,18.5,5.501,84.86,5.24,0.227,349.88,80.479,ZO,15807.75334,467.88,373.8325991,94.04740088,15861.71718
RZ-133X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,27,0.45,30.5,270,47,118,2.4,81.5,18.25,5.501,84.86,5.23,0.225,352.1,80.967,ZO,15908.05405,470.1,377.1555556,92.94444444,16002.71022
RZ-134I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,22,0.45,25.5,180,22,54.8,1.3,25,14.9,7.101,103.4,7.84,1.522,63.29,20.681,ZL,3496.804145,118.09,67.9369251,50.1530749,3512.339028
RZ-134X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,22,0.45,25.5,270,22,54.8,1.3,25.5,14.65,7.101,103.4,7.78,1.489,64.6,21.071,ZL,3569.1823,119.4,69.44257891,49.95742109,3590.18133
RZ-135AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,22,0.45,25.5,180,29,72.8,1.8,43.1,14.9,7.101,103.4,6.74,0.852,112.81,34.806,ZN,6232.808905,185.61,121.3615023,64.24849765,6274.389671
RZ-135AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,22,0.45,25.5,270,30,72.8,1.8,43.5,14.65,7.101,103.4,6.73,0.843,114.19,35.118,ZN,6309.054595,186.99,122.6571767,64.33282325,6341.376038
RZ-135I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,22,0.45,25.5,180,29,70.8,1.8,41,14.9,7.101,103.4,6.82,0.897,107.31,33.167,ZL,5928.931155,178.11,115.2731327,62.83686734,5959.620959
RZ-135X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,22,0.45,25.5,270,29,70.8,1.8,41.5,14.65,7.101,103.4,6.8,0.886,108.69,33.557,ZL,6005.176845,179.49,116.7042889,62.78571106,6033.611738
RZ-136AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,2,22,0.45,25.5,180,44,124,2.4,95,14.5,7.101,103.4,5.85,0.376,255.89,75.309,ZO,14138.05045,379.89,275,104.89,14217.5
