Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-015CX,Gutekunst,0.075,0.151,34.01333333,43.38400667,2.551,2.2,0.25
RZ-015DI,Gutekunst,0.066,0.17,38.65151515,49.30000758,2.551,2.2,0.25
RZ-015DX,Gutekunst,0.066,0.17,38.65151515,49.30000758,2.551,2.2,0.25
RZ-015EI,Gutekunst,0.059,0.189,43.23728814,55.14916102,2.551,2.2,0.25
RZ-015EX,Gutekunst,0.059,0.189,43.23728814,55.14916102,2.551,2.2,0.25
RZ-015FI,Gutekunst,0.12,0.075,18.00833333,19.45800417,2.161,5.5,0.32
RZ-015FX,Gutekunst,0.115,0.078,18.79130435,20.30400435,2.161,5.5,0.32
RZ-015GI,Gutekunst,0.07,0.116,30.87142857,33.35657857,2.161,5.5,0.32
RZ-015GX,Gutekunst,0.068,0.119,31.77941176,34.33765441,2.161,5.5,0.32
RZ-015HI,Gutekunst,0.043,0.178,50.25581395,54.30140698,2.161,5.5,0.32
RZ-015HX,Gutekunst,0.042,0.181,51.45238095,55.59429762,2.161,5.5,0.32
RZ-015I,Gutekunst,0.117,0.098,21.8034188,27.81026068,2.551,2.2,0.25
RZ-015JI,Gutekunst,0.027,0.272,80.03703704,86.48001852,2.161,5.5,0.32
RZ-015JX,Gutekunst,0.027,0.274,80.03703704,86.48001852,2.161,5.5,0.32
RZ-015KI,Gutekunst,0.017,0.427,127.1176471,137.3506176,2.161,5.5,0.32
RZ-015KX,Gutekunst,0.017,0.429,127.1176471,137.3506176,2.161,5.5,0.32
RZ-015LI,Gutekunst,0.011,0.634,196.4545455,212.2691364,2.161,5.5,0.32
RZ-015LX,Gutekunst,0.011,0.636,196.4545455,212.2691364,2.161,5.5,0.32
RZ-015X,Gutekunst,0.116,0.099,21.99137931,28.05000431,2.551,2.2,0.25
RZ-016I,Gutekunst,0.125,0.106,21.848,29.833444,2.731,4.32,0.32
RZ-016X,Gutekunst,0.122,0.108,22.3852459,30.56705328,2.731,4.32,0.32
RZ-017I,Gutekunst,0.059,0.21,46.28813559,63.20644915,2.731,4.32,0.32
RZ-017X,Gutekunst,0.058,0.212,47.0862069,64.29621552,2.731,4.32,0.32
RZ-018AI,Gutekunst,0.027,0.442,101.1481481,138.1177963,2.731,4.32,0.32
RZ-018AX,Gutekunst,0.027,0.444,101.1481481,138.1177963,2.731,4.32,0.32
RZ-018I,Gutekunst,0.036,0.33,75.86111111,103.5883472,2.731,4.32,0.32
RZ-018X,Gutekunst,0.036,0.332,75.86111111,103.5883472,2.731,4.32,0.32
RZ-019I,Gutekunst,0.243,0.085,13.70781893,22.83037243,3.331,3.52,0.32
RZ-019X,Gutekunst,0.238,0.086,13.99579832,23.3100021,3.331,3.52,0.32
RZ-020I,Gutekunst,0.114,0.168,29.21929825,48.66474123,3.331,3.52,0.32
RZ-020X,Gutekunst,0.113,0.169,29.47787611,49.09540265,3.331,3.52,0.32
RZ-021AI,Gutekunst,0.06,0.309,55.51666667,92.46300833,3.331,3.52,0.32
RZ-021AX,Gutekunst,0.06,0.31,55.51666667,92.46300833,3.331,3.52,0.32
RZ-021BI,Gutekunst,0.053,0.347,62.8490566,104.6751038,3.331,3.52,0.32
RZ-021BX,Gutekunst,0.053,0.348,62.8490566,104.6751038,3.331,3.52,0.32
RZ-021CI,Gutekunst,0.045,0.404,74.02222222,123.2840111,3.331,3.52,0.32
RZ-021CX,Gutekunst,0.045,0.406,74.02222222,123.2840111,3.331,3.52,0.32
RZ-021DI,Gutekunst,0.04,0.456,83.275,138.6945125,3.331,3.52,0.32
RZ-021DX,Gutekunst,0.04,0.457,83.275,138.6945125,3.331,3.52,0.32
RZ-021EI,Gutekunst,0.036,0.507,92.52777778,154.1050139,3.331,3.52,0.32
RZ-021EX,Gutekunst,0.036,0.508,92.52777778,154.1050139,3.331,3.52,0.32
RZ-021I,Gutekunst,0.071,0.264,46.91549296,78.13775352,3.331,3.52,0.32
RZ-021X,Gutekunst,0.07,0.265,47.58571429,79.25400714,3.331,3.52,0.32
RZ-022I,Gutekunst,0.511,0.066,8.045009785,16.53651761,4.111,2.82,0.32
RZ-022X,Gutekunst,0.5,0.067,8.222,16.900321,4.111,2.82,0.32
RZ-023I,Gutekunst,0.24,0.131,17.12916667,35.20900208,4.111,2.82,0.32
