Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-124BX,Gutekunst,0.546,34.65,156.8315018,6714.740751,85.63,14.1,1.6
RZ-124CI,Gutekunst,0.477,39.488,179.5178197,7686.055451,85.63,14.1,1.6
RZ-124CX,Gutekunst,0.475,39.644,180.2736842,7718.417789,85.63,14.1,1.6
RZ-124DI,Gutekunst,0.422,44.483,202.9146919,8687.792536,85.63,14.1,1.6
RZ-124DX,Gutekunst,0.421,44.639,203.3966746,8708.428622,85.63,14.1,1.6
RZ-124EI,Gutekunst,0.384,48.853,222.9947917,9547.522005,85.63,14.1,1.6
RZ-124EX,Gutekunst,0.383,49.009,223.5770235,9572.450261,85.63,14.1,1.6
RZ-124F-01I,Gutekunst,3.646,7.346,25.90510148,1223.368417,94.45,12.7,1.6
RZ-124F-01X,Gutekunst,3.568,7.484,26.47141256,1250.112458,94.45,12.7,1.6
RZ-124F-02I,Gutekunst,1.95,12.89,48.43589744,2287.385256,94.45,12.7,1.6
RZ-124F-02X,Gutekunst,1.928,13.028,48.98858921,2313.486126,94.45,12.7,1.6
RZ-124FI,Gutekunst,1.31,18.711,72.09923664,3404.88645,94.45,12.7,1.6
RZ-124FX,Gutekunst,1.321,18.572,71.4988645,3376.533876,94.45,12.7,1.6
RZ-124GI,Gutekunst,0.902,26.75,104.7117517,4945.012472,94.45,12.7,1.6
RZ-124GX,Gutekunst,0.897,26.888,105.2954292,4972.576644,94.45,12.7,1.6
RZ-124HI,Gutekunst,0.693,34.511,136.2914863,6436.36544,94.45,12.7,1.6
RZ-124HX,Gutekunst,0.69,34.671,136.884058,6464.349638,94.45,12.7,1.6
RZ-124I,Gutekunst,0.743,25.753,115.2489906,4934.385532,85.63,14.1,1.6
RZ-124JI,Gutekunst,0.555,42.827,170.1801802,8036.759009,94.45,12.7,1.6
RZ-124JX,Gutekunst,0.553,42.966,170.79566,8065.825045,94.45,12.7,1.6
RZ-124X,Gutekunst,0.739,25.909,115.8728011,4961.093978,85.63,14.1,1.6
RZ-125I,Gutekunst,4.986,6.618,20.57761733,1055.631769,102.6,11.6,1.6
RZ-125X,Gutekunst,4.88,6.743,21.02459016,1078.561475,102.6,11.6,1.6
RZ-126I,Gutekunst,2.341,13.111,43.82742418,2248.34686,102.6,11.6,1.6
RZ-126X,Gutekunst,2.317,13.236,44.28139836,2271.635736,102.6,11.6,1.6
RZ-127AI,Gutekunst,1.182,25.098,86.80203046,4452.944162,102.6,11.6,1.6
RZ-127AX,Gutekunst,1.176,25.223,87.24489796,4475.663265,102.6,11.6,1.6
RZ-127BI,Gutekunst,1.033,28.594,99.32236205,5095.237173,102.6,11.6,1.6
RZ-127BX,Gutekunst,1.029,28.719,99.70845481,5115.043732,102.6,11.6,1.6
RZ-127CI,Gutekunst,0.903,32.59,113.6212625,5828.770764,102.6,11.6,1.6
RZ-127CX,Gutekunst,0.899,32.714,114.1268076,5854.705228,102.6,11.6,1.6
RZ-127DI,Gutekunst,0.802,36.585,127.9301746,6562.817955,102.6,11.6,1.6
RZ-127DX,Gutekunst,0.799,36.71,128.4105131,6587.459324,102.6,11.6,1.6
RZ-127EI,Gutekunst,0.721,40.581,142.3023578,7300.110957,102.6,11.6,1.6
RZ-127EX,Gutekunst,0.719,40.706,142.6981919,7320.417246,102.6,11.6,1.6
RZ-127I,Gutekunst,1.452,20.603,70.66115702,3624.917355,102.6,11.6,1.6
RZ-127X,Gutekunst,1.443,20.727,71.1018711,3647.525988,102.6,11.6,1.6
RZ-128I,Gutekunst,9.739,5.294,12.4961495,760.3906972,121.7,9.6,1.6
RZ-128X,Gutekunst,9.532,5.394,12.76751993,776.9035879,121.7,9.6,1.6
RZ-129AI,Gutekunst,3.672,12.886,33.14270153,2016.733388,121.7,9.6,1.6
RZ-129AX,Gutekunst,3.642,12.986,33.41570566,2033.345689,121.7,9.6,1.6
RZ-129I,Gutekunst,4.571,10.489,26.62437103,1620.092977,121.7,9.6,1.6
RZ-129X,Gutekunst,4.525,10.589,26.89502762,1636.562431,121.7,9.6,1.6
RZ-130AI,Gutekunst,2.409,19.279,50.51888751,3074.074305,121.7,9.6,1.6
RZ-130AX,Gutekunst,2.396,19.379,50.79298831,3090.753339,121.7,9.6,1.6
RZ-130BI,Gutekunst,2.094,22.076,58.11843362,3536.506686,121.7,9.6,1.6
RZ-130BX,Gutekunst,2.084,22.176,58.39731286,3553.476488,121.7,9.6,1.6
RZ-130CI,Gutekunst,1.821,25.273,66.83141131,4066.691378,121.7,9.6,1.6
RZ-130CX,Gutekunst,1.814,25.372,67.0893054,4082.384234,121.7,9.6,1.6
RZ-130DI,Gutekunst,1.611,28.469,75.54314091,4596.800124,121.7,9.6,1.6
RZ-130DX,Gutekunst,1.606,28.569,75.77833126,4611.111457,121.7,9.6,1.6
RZ-130E-01I,Gutekunst,25.735,3.276,5.525548863,392.8665242,142.2,8,1.6
RZ-130E-01X,Gutekunst,25,3.356,5.688,404.4168,142.2,8,1.6
RZ-130E-02I,Gutekunst,15.086,5.194,9.425957842,670.1856025,142.2,8,1.6
RZ-130E-02X,Gutekunst,14.831,5.274,9.588025083,681.7085834,142.2,8,1.6
RZ-130E-03I,Gutekunst,9.722,7.752,14.62662004,1039.952685,142.2,8,1.6
RZ-130E-03X,Gutekunst,9.615,7.832,14.78939158,1051.525741,142.2,8,1.6
RZ-130E-10I,Gutekunst,0.884,15.787,83.14479638,3055.571267,73.5,24,1.8
RZ-130E-10X,Gutekunst,0.861,16.138,85.36585366,3137.195122,73.5,24,1.8
RZ-130E-11I,Gutekunst,0.542,24.207,135.6088561,4983.625461,73.5,24,1.8
RZ-130E-11X,Gutekunst,0.533,24.558,137.8986867,5067.776735,73.5,24,1.8
RZ-130E-12I,Gutekunst,0.343,36.837,214.2857143,7875,73.5,24,1.8
RZ-130E-12X,Gutekunst,0.339,37.188,216.8141593,7967.920354,73.5,24,1.8
RZ-130E-13I,Gutekunst,0.212,57.887,346.6981132,12741.15566,73.5,24,1.8
RZ-130E-13X,Gutekunst,0.211,58.238,348.3412322,12801.54028,73.5,24,1.8
RZ-130E-14I,Gutekunst,0.141,85.953,521.2765957,19156.91489,73.5,24,1.8
RZ-130E-14X,Gutekunst,0.141,86.304,521.2765957,19156.91489,73.5,24,1.8
RZ-130E-15I,Gutekunst,0.107,112.616,686.9158879,25244.15888,73.5,24,1.8
RZ-130E-15X,Gutekunst,0.107,112.967,686.9158879,25244.15888,73.5,24,1.8
RZ-130EI,Gutekunst,1.445,31.666,84.22145329,5124.875433,121.7,9.6,1.6
RZ-130EX,Gutekunst,1.44,31.765,84.51388889,5142.670139,121.7,9.6,1.6
RZ-130FI,Gutekunst,1.604,12.943,52.96134663,2249.533198,84.95,20,1.8
RZ-130FX,Gutekunst,1.563,13.23,54.35060781,2308.542067,84.95,20,1.8
RZ-130GI,Gutekunst,0.983,19.846,86.41912513,3670.65234,84.95,20,1.8
RZ-130GX,Gutekunst,0.967,20.133,87.84901758,3731.387022,84.95,20,1.8
RZ-130HI,Gutekunst,0.622,30.2,136.5755627,5801.047026,84.95,20,1.8
RZ-130HX,Gutekunst,0.616,30.487,137.9058442,5857.550731,84.95,20,1.8
RZ-130I,Gutekunst,2.835,16.482,42.92768959,2612.149912,121.7,9.6,1.6
RZ-130JI,Gutekunst,0.386,47.457,220.0777202,9347.801166,84.95,20,1.8
RZ-130JX,Gutekunst,0.383,47.744,221.8015666,9421.02154,84.95,20,1.8
RZ-130K-01I,Gutekunst,0.236,76.219,359.9576271,15289.20021,84.95,20,1.8
RZ-130K-01X,Gutekunst,0.235,76.506,361.4893617,15354.26064,84.95,20,1.8
RZ-130K-02I,Gutekunst,0.194,92.325,437.8865979,18599.23325,84.95,20,1.8
RZ-130K-02X,Gutekunst,0.194,92.613,437.8865979,18599.23325,84.95,20,1.8
RZ-130K-03I,Gutekunst,0.93,32.539,112.9032258,5927.419355,105,16,1.8
RZ-130K-03X,Gutekunst,0.923,32.763,113.75948,5972.372698,105,16,1.8
RZ-130K-04I,Gutekunst,0.661,45.105,158.8502269,8339.636914,105,16,1.8
RZ-130K-04X,Gutekunst,0.658,45.33,159.5744681,8377.659574,105,16,1.8
RZ-130K-05I,Gutekunst,0.522,56.774,201.1494253,10560.34483,105,16,1.8
RZ-130K-05X,Gutekunst,0.519,56.999,202.3121387,10621.38728,105,16,1.8
RZ-130K-06I,Gutekunst,0.425,69.341,247.0588235,12970.58824,105,16,1.8
RZ-130K-06X,Gutekunst,0.423,69.565,248.2269504,13031.91489,105,16,1.8
RZ-130K-20I,Gutekunst,2.566,12.791,40.91971941,2148.285269,105,16,1.8
RZ-130K-20X,Gutekunst,2.516,13.015,41.73290938,2190.977742,105,16,1.8
RZ-130K-21I,Gutekunst,1.426,21.767,73.63253857,3865.708275,105,16,1.8
RZ-130K-21X,Gutekunst,1.41,21.992,74.46808511,3909.574468,105,16,1.8
RZ-130KI,Gutekunst,0.256,70.466,331.8359375,14094.73145,84.95,20,1.8
RZ-130KX,Gutekunst,0.255,70.754,333.1372549,14150.0049,84.95,20,1.8
RZ-130LI,Gutekunst,9.111,7.254,15.03676874,1030.018659,137,12,1.8
RZ-130LX,Gutekunst,8.877,7.415,15.43314183,1057.170215,137,12,1.8
RZ-130MI,Gutekunst,5.584,11.122,24.53438395,1680.605301,137,12,1.8
RZ-130MX,Gutekunst,5.496,11.283,24.9272198,1707.514556,137,12,1.8
RZ-130NI,Gutekunst,3.533,16.925,38.77724314,2656.241155,137,12,1.8
RZ-130NX,Gutekunst,3.497,17.086,39.17643695,2683.585931,137,12,1.8
RZ-130OI,Gutekunst,2.191,26.597,62.52852579,4283.204016,137,12,1.8
RZ-130OX,Gutekunst,2.178,26.758,62.90174472,4308.769513,137,12,1.8
RZ-130PI,Gutekunst,1.455,39.492,94.1580756,6449.828179,137,12,1.8
RZ-130PX,Gutekunst,1.449,39.653,94.54796411,6476.535542,137,12,1.8
RZ-130QI,Gutekunst,25.905,5.12,6.790194943,597.1976452,175.9,9,1.8
RZ-130QX,Gutekunst,25.24,5.234,6.969096672,612.9320523,175.9,9,1.8
RZ-130RI,Gutekunst,15.877,7.851,11.07891919,974.3909429,175.9,9,1.8
RZ-130RX,Gutekunst,15.625,7.965,11.2576,990.10592,175.9,9,1.8
RZ-130SI,Gutekunst,10.045,11.947,17.5111996,1540.110005,175.9,9,1.8
RZ-130SX,Gutekunst,9.943,12.061,17.69083778,1555.909182,175.9,9,1.8
RZ-130TI,Gutekunst,6.23,18.774,28.23434992,2483.211075,175.9,9,1.8
RZ-130TX,Gutekunst,6.191,18.888,28.41221127,2498.853982,175.9,9,1.8
RZ-130UI,Gutekunst,4.136,27.877,42.52901354,3740.426741,175.9,9,1.8
RZ-130UX,Gutekunst,4.119,27.991,42.70453994,3755.864287,175.9,9,1.8
RZ-130X,Gutekunst,2.818,16.582,43.1866572,2627.908091,121.7,9.6,1.6
RZ-131I,Gutekunst,0.779,25.851,108.9345315,4622.092169,84.86,27,2
RZ-131X,Gutekunst,0.763,26.339,111.2188729,4719.016776,84.86,27,2
RZ-132I,Gutekunst,0.46,41.459,184.4782609,7827.412609,84.86,27,2
RZ-132X,Gutekunst,0.454,41.947,186.9162996,7930.85859,84.86,27,2
RZ-133AI,Gutekunst,0.168,107.793,505.1190476,21432.20119,84.86,27,2
RZ-133AX,Gutekunst,0.167,108.281,508.1437126,21560.53772,84.86,27,2
RZ-133I,Gutekunst,0.227,80.479,373.8325991,15861.71718,84.86,27,2
RZ-133X,Gutekunst,0.225,80.967,377.1555556,16002.71022,84.86,27,2
RZ-134I,Gutekunst,1.522,20.681,67.9369251,3512.339028,103.4,22,2
RZ-134X,Gutekunst,1.489,21.071,69.44257891,3590.18133,103.4,22,2
RZ-135AI,Gutekunst,0.852,34.806,121.3615023,6274.389671,103.4,22,2
RZ-135AX,Gutekunst,0.843,35.118,122.6571767,6341.376038,103.4,22,2
RZ-135I,Gutekunst,0.897,33.167,115.2731327,5959.620959,103.4,22,2
RZ-135X,Gutekunst,0.886,33.557,116.7042889,6033.611738,103.4,22,2
RZ-136AI,Gutekunst,0.376,75.309,275,14217.5,103.4,22,2
RZ-136AX,Gutekunst,0.374,75.699,276.4705882,14293.52941,103.4,22,2
RZ-136BI,Gutekunst,0.327,86.234,316.2079511,16347.95107,103.4,22,2
RZ-136BX,Gutekunst,0.326,86.625,317.1779141,16398.09816,103.4,22,2
RZ-136CI,Gutekunst,0.285,98.721,362.8070175,18757.12281,103.4,22,2
RZ-136CX,Gutekunst,0.244,114.719,423.7704918,21908.93443,103.4,22,2
RZ-136DI,Gutekunst,0.252,111.207,410.3174603,21213.4127,103.4,22,2
RZ-136DX,Gutekunst,0.251,111.598,411.9521912,21297.92829,103.4,22,2
RZ-136E-10I,Gutekunst,2.661,17.165,45.58436678,2764.691845,121.3,18.6,2
RZ-136E-10X,Gutekunst,2.605,17.489,46.56429942,2824.12476,121.3,18.6,2
RZ-136EI,Gutekunst,0.226,123.694,457.5221239,23653.89381,103.4,22,2
RZ-136EX,Gutekunst,0.225,124.084,459.5555556,23759.02222,103.4,22,2
RZ-136I,Gutekunst,0.443,64.383,233.4085779,12067.22348,103.4,22,2
RZ-136X,Gutekunst,0.44,64.773,235,12149.5,103.4,22,2
RZ-137AI,Gutekunst,0.887,46.961,136.7531003,8294.075536,121.3,18.6,2
RZ-137AX,Gutekunst,0.881,47.285,137.6844495,8350.561862,121.3,18.6,2
RZ-137I,Gutekunst,1.569,27.529,77.31038878,4688.87508,121.3,18.6,2
RZ-137X,Gutekunst,1.55,27.852,78.25806452,4746.351613,121.3,18.6,2
RZ-138AI,Gutekunst,0.46,88.416,263.6956522,15993.1413,121.3,18.6,2
RZ-138AX,Gutekunst,0.459,88.74,264.2701525,16027.98475,121.3,18.6,2
RZ-138I,Gutekunst,0.506,80.643,239.7233202,14539.21937,121.3,18.6,2
RZ-138X,Gutekunst,0.504,80.967,240.6746032,14596.91468,121.3,18.6,2
RZ-139I,Gutekunst,2.972,16.544,42.09286676,2632.908816,125.1,18,2
RZ-139X,Gutekunst,2.909,16.857,43.00446889,2689.929529,125.1,18,2
RZ-140AI,Gutekunst,1.085,41.517,115.2995392,7211.986175,125.1,18,2
RZ-140AX,Gutekunst,1.077,41.83,116.1559889,7265.557103,125.1,18,2
RZ-140I,Gutekunst,1.753,26.534,71.36337707,4463.779236,125.1,18,2
RZ-140X,Gutekunst,1.731,26.846,72.27036395,4520.511265,125.1,18,2
RZ-141AI,Gutekunst,0.735,60.247,170.2040816,10646.26531,125.1,18,2
RZ-141AX,Gutekunst,0.731,60.559,171.1354309,10704.5212,125.1,18,2
RZ-141BI,Gutekunst,0.639,68.987,195.7746479,12245.70423,125.1,18,2
RZ-141BX,Gutekunst,0.636,69.3,196.6981132,12303.46698,125.1,18,2
RZ-141CI,Gutekunst,0.556,78.977,225,14073.75,125.1,18,2
RZ-141CX,Gutekunst,0.553,79.289,226.2206148,14150.09946,125.1,18,2
RZ-141DI,Gutekunst,0.492,88.966,254.2682927,15904.48171,125.1,18,2
RZ-141DX,Gutekunst,0.49,89.278,255.3061224,15969.39796,125.1,18,2
RZ-141E-10I,Gutekunst,5.371,12.291,26.01005399,1816.802271,139.7,16,2
RZ-141E-10X,Gutekunst,5.233,12.565,26.6959679,1864.713358,139.7,16,2
RZ-141EI,Gutekunst,0.441,98.955,283.6734694,17743.77551,125.1,18,2
RZ-141EX,Gutekunst,0.44,99.267,284.3181818,17784.10227,125.1,18,2
RZ-141FI,Gutekunst,3.292,18.847,42.43620899,2964.169198,139.7,16,2
RZ-141FX,Gutekunst,3.239,19.12,43.13059586,3012.672121,139.7,16,2
RZ-141GI,Gutekunst,1.57,37.42,88.98089172,6215.315287,139.7,16,2
RZ-141GX,Gutekunst,1.558,37.693,89.66623877,6263.186778,139.7,16,2
RZ-141HI,Gutekunst,1.031,55.994,135.499515,9464.641125,139.7,16,2
RZ-141HX,Gutekunst,1.026,56.267,136.1598441,9510.765107,139.7,16,2
RZ-141I,Gutekunst,0.865,51.507,144.6242775,9046.248555,125.1,18,2
RZ-141JI,Gutekunst,0.767,74.567,182.1382008,12722.35332,139.7,16,2
RZ-141JX,Gutekunst,0.764,74.841,182.8534031,12772.31021,139.7,16,2
RZ-141KI,Gutekunst,0.611,93.141,228.6415712,15970.61375,139.7,16,2
RZ-141KX,Gutekunst,0.609,93.414,229.3924466,16023.0624,139.7,16,2
RZ-141X,Gutekunst,0.86,51.819,145.4651163,9098.843023,125.1,18,2
RZ-142I,Gutekunst,6.233,12.925,24.54676721,1877.827691,153,14.5,2
RZ-142X,Gutekunst,6.1,13.169,25.08196721,1918.770492,153,14.5,2
RZ-143I,Gutekunst,3.676,20.729,41.62132753,3184.031556,153,14.5,2
RZ-143X,Gutekunst,3.629,20.973,42.16037476,3225.268669,153,14.5,2
RZ-144AI,Gutekunst,1.542,47.068,99.22178988,7590.466926,153,14.5,2
RZ-144AX,Gutekunst,1.533,47.312,99.80430528,7635.029354,153,14.5,2
RZ-144BI,Gutekunst,1.34,53.897,114.1791045,8734.701493,153,14.5,2
RZ-144BX,Gutekunst,1.334,54.14,114.6926537,8773.988006,153,14.5,2
RZ-144CI,Gutekunst,1.166,61.7,131.2178388,10038.16467,153,14.5,2
RZ-144CX,Gutekunst,1.161,61.944,131.7829457,10081.39535,153,14.5,2
RZ-144DI,Gutekunst,1.031,69.504,148.399612,11352.57032,153,14.5,2
RZ-144DX,Gutekunst,1.028,69.748,148.8326848,11385.70039,153,14.5,2
RZ-144EI,Gutekunst,0.925,77.309,165.4054054,12653.51351,153,14.5,2
RZ-144EX,Gutekunst,0.922,77.552,165.9436009,12694.68547,153,14.5,2
RZ-144I,Gutekunst,1.815,40.24,84.29752066,6448.760331,153,14.5,2
RZ-144X,Gutekunst,1.803,40.483,84.85856905,6491.680532,153,14.5,2
RZ-145I,Gutekunst,12.174,10.34,14.90882208,1352.975604,181.5,12,2
RZ-145X,Gutekunst,11.915,10.535,15.23289971,1382.385648,181.5,12,2
RZ-146AI,Gutekunst,5.49,21.266,33.06010929,3000.204918,181.5,12,2
RZ-146AX,Gutekunst,5.437,21.461,33.38237999,3029.450984,181.5,12,2
RZ-146I,Gutekunst,7.18,16.584,25.27855153,2294.028552,181.5,12,2
RZ-146X,Gutekunst,7.089,16.779,25.60304697,2323.476513,181.5,12,2
RZ-147AAI,Gutekunst,3.457,32.972,52.50216951,4764.571883,181.5,12,2
RZ-147AAX,Gutekunst,3.436,33.167,52.82305006,4793.691793,181.5,12,2
RZ-147AI,Gutekunst,3.011,37.654,60.27897708,5470.31717,181.5,12,2
RZ-147AX,Gutekunst,2.995,37.849,60.60100167,5499.540902,181.5,12,2
RZ-147B-01I,Gutekunst,2.523,44.678,71.93816885,6528.388823,181.5,12,2
RZ-147B-01X,Gutekunst,2.511,44.873,72.28195938,6559.587814,181.5,12,2
RZ-147BI,Gutekunst,2.617,43.117,69.35422239,6293.895682,181.5,12,2
RZ-147BX,Gutekunst,2.605,43.312,69.67370441,6322.888676,181.5,12,2
RZ-147CI,Gutekunst,2.276,49.36,79.74516696,7236.873902,181.5,12,2
RZ-147CX,Gutekunst,2.267,49.556,80.06175562,7265.604323,181.5,12,2
RZ-147DI,Gutekunst,2.014,55.604,90.11916584,8178.3143,181.5,12,2
RZ-147DX,Gutekunst,2.007,55.799,90.43348281,8206.838565,181.5,12,2
RZ-147E-01I,Gutekunst,32.169,6.399,6.59019553,698.5607262,212,10,2
RZ-147E-01X,Gutekunst,31.25,6.555,6.784,719.104,212,10,2
RZ-147E-02I,Gutekunst,18.858,10.145,11.24191325,1191.642804,212,10,2
RZ-147E-02X,Gutekunst,18.538,10.301,11.43596936,1212.212752,212,10,2
RZ-147E-03I,Gutekunst,12.153,15.14,17.44425245,1849.090759,212,10,2
RZ-147E-03X,Gutekunst,12.019,15.296,17.63873866,1869.706298,212,10,2
RZ-147E-10I,Gutekunst,7.491,23.88,28.30062742,2999.866506,212,10,2
RZ-147E-10X,Gutekunst,7.491,23.88,28.30062742,2999.866506,212,10,2
RZ-147E-20I,Gutekunst,1.004,29.533,103.8844622,5417.574701,104.3,30,2.2
RZ-147E-20X,Gutekunst,0.979,30.189,106.5372829,5555.919305,104.3,30,2.2
RZ-147E-21I,Gutekunst,0.616,45.283,169.3181818,8829.943182,104.3,30,2.2
RZ-147E-21X,Gutekunst,0.606,45.94,172.1122112,8975.651815,104.3,30,2.2
RZ-147E-22I,Gutekunst,0.389,68.909,268.1233933,13982.63496,104.3,30,2.2
RZ-147E-22X,Gutekunst,0.386,69.566,270.2072539,14091.30829,104.3,30,2.2
RZ-147E-23I,Gutekunst,0.241,108.286,432.780083,22569.48133,104.3,30,2.2
RZ-147E-23X,Gutekunst,0.24,108.942,434.5833333,22663.52083,104.3,30,2.2
RZ-147E-24I,Gutekunst,0.16,160.788,651.875,33995.28125,104.3,30,2.2
RZ-147E-24X,Gutekunst,0.16,161.445,651.875,33995.28125,104.3,30,2.2
RZ-147EI,Gutekunst,1.807,61.847,100.4427227,9115.177089,181.5,12,2
RZ-147EX,Gutekunst,1.801,62.042,100.7773459,9145.544142,181.5,12,2
RZ-147FI,Gutekunst,2.083,23.159,59.38550168,3672.993279,123.7,24,2.2
RZ-147FX,Gutekunst,2.029,23.673,60.9659931,3770.746673,123.7,24,2.2
RZ-147GI,Gutekunst,1.276,35.51,96.94357367,5995.960031,123.7,24,2.2
RZ-147GX,Gutekunst,1.256,36.025,98.48726115,6091.437102,123.7,24,2.2
RZ-147HI,Gutekunst,0.808,54.037,153.0940594,9468.867574,123.7,24,2.2
RZ-147HX,Gutekunst,0.799,54.551,154.8185232,9575.525657,123.7,24,2.2
RZ-147I,Gutekunst,3.544,32.192,51.21331828,4647.608634,181.5,12,2
RZ-147JI,Gutekunst,0.501,84.915,246.9061876,15271.1477,123.7,24,2.2
RZ-147JX,Gutekunst,0.498,85.43,248.3935743,15363.14257,123.7,24,2.2
RZ-147K-01I,Gutekunst,1.275,50.845,115.4509804,8497.192157,147.2,20,2.2
RZ-147K-01X,Gutekunst,1.264,51.265,116.4556962,8571.139241,147.2,20,2.2
RZ-147K-02I,Gutekunst,0.938,68.074,156.9296375,11550.02132,147.2,20,2.2
RZ-147K-02X,Gutekunst,0.938,68.074,156.9296375,11550.02132,147.2,20,2.2
RZ-147K-03I,Gutekunst,0.749,84.462,196.5287049,14464.51268,147.2,20,2.2
RZ-147K-03X,Gutekunst,0.746,84.882,197.3190349,14522.68097,147.2,20,2.2
RZ-147K-04I,Gutekunst,0.621,101.27,237.037037,17445.92593,147.2,20,2.2
RZ-147K-04X,Gutekunst,0.619,101.69,237.8029079,17502.29402,147.2,20,2.2
RZ-147K-20I,Gutekunst,3.461,20.59,42.53106039,3130.286044,147.2,20,2.2
RZ-147K-20X,Gutekunst,3.381,21.01,43.53741497,3204.353741,147.2,20,2.2
RZ-147K-21I,Gutekunst,1.69,39.079,87.10059172,6410.60355,147.2,20,2.2
RZ-147K-21X,Gutekunst,1.671,39.499,88.09096349,6483.494913,147.2,20,2.2
RZ-147KI,Gutekunst,0.333,126.086,371.4714715,22975.51051,123.7,24,2.2
RZ-147KX,Gutekunst,0.331,126.601,373.7160121,23114.33535,123.7,24,2.2
RZ-147LI,Gutekunst,10.288,13.598,18.68195956,1795.336314,192.2,15,2.2
RZ-147LX,Gutekunst,10.025,13.9,19.17206983,1842.43591,192.2,15,2.2
RZ-147MI,Gutekunst,6.306,20.85,30.47890898,2929.023153,192.2,15,2.2
RZ-147MX,Gutekunst,6.206,21.152,30.970029,2976.219787,192.2,15,2.2
RZ-147NI,Gutekunst,3.989,31.728,48.18250188,4630.338431,192.2,15,2.2
RZ-147NX,Gutekunst,3.949,32.03,48.67054951,4677.239808,192.2,15,2.2
RZ-147OI,Gutekunst,2.474,49.858,77.68795473,7465.812449,192.2,15,2.2
RZ-147OX,Gutekunst,2.459,50.16,78.16185441,7511.354209,192.2,15,2.2
RZ-147PI,Gutekunst,1.643,74.032,116.9811321,11241.88679,192.2,15,2.2
RZ-147PX,Gutekunst,1.636,74.334,117.4816626,11289.98778,192.2,15,2.2
RZ-147QI,Gutekunst,31.661,9.348,7.953002116,1001.282966,251.8,11,2.2
RZ-147QX,Gutekunst,30.849,9.556,8.162339136,1027.638497,251.8,11,2.2
RZ-147RI,Gutekunst,19.405,14.334,12.9760371,1633.683071,251.8,11,2.2
RZ-147RX,Gutekunst,19.097,14.542,13.18531707,1660.031419,251.8,11,2.2
RZ-147SI,Gutekunst,12.277,21.813,20.50989655,2582.195976,251.8,11,2.2
RZ-147SX,Gutekunst,12.153,22.021,20.71916399,2608.542747,251.8,11,2.2
RZ-147TI,Gutekunst,7.615,34.278,33.06631648,4163.049245,251.8,11,2.2
RZ-147TX,Gutekunst,7.567,34.485,33.27606713,4189.456852,251.8,11,2.2
RZ-147UI,Gutekunst,5.055,50.897,49.81206726,6271.339268,251.8,11,2.2
RZ-147UX,Gutekunst,5.034,51.105,50.01986492,6297.500993,251.8,11,2.2
RZ-147X,Gutekunst,3.522,32.387,51.53321976,4676.639693,181.5,12,2
RZ-148I,Gutekunst,0.907,51.702,136.1631753,8408.076075,123.5,34.5,2.5
RZ-148X,Gutekunst,0.888,52.685,139.0765766,8587.978604,123.5,34.5,2.5
RZ-149I,Gutekunst,0.426,102.428,289.9061033,17901.70188,123.5,34.5,2.5
RZ-149X,Gutekunst,0.421,103.411,293.3491686,18114.31116,123.5,34.5,2.5
RZ-150AI,Gutekunst,0.195,215.586,633.3333333,39108.33333,123.5,34.5,2.5
RZ-150AX,Gutekunst,0.194,216.569,636.5979381,39309.92268,123.5,34.5,2.5
RZ-150I,Gutekunst,0.264,160.958,467.8030303,28886.83712,123.5,34.5,2.5
RZ-150X,Gutekunst,0.262,161.941,471.3740458,29107.34733,123.5,34.5,2.5
RZ-151AI,Gutekunst,1.75,43.44,87.82857143,6749.625714,153.7,27.5,2.5
RZ-151AX,Gutekunst,1.715,44.209,89.62099125,6887.373178,153.7,27.5,2.5
RZ-151I,Gutekunst,1.902,40.392,80.80967403,6210.223449,153.7,27.5,2.5
RZ-151X,Gutekunst,1.861,41.16,82.59000537,6347.041913,153.7,27.5,2.5
RZ-152I,Gutekunst,0.893,80.022,172.1164614,13227.15006,153.7,27.5,2.5
RZ-152X,Gutekunst,0.884,80.79,173.8687783,13361.81561,153.7,27.5,2.5
RZ-153AI,Gutekunst,0.47,147.088,327.0212766,25131.58511,153.7,27.5,2.5
RZ-153AX,Gutekunst,0.468,147.856,328.4188034,25238.98504,153.7,27.5,2.5
RZ-153BI,Gutekunst,0.409,168.427,375.794621,28879.81663,153.7,27.5,2.5
RZ-153BX,Gutekunst,0.407,169.195,377.6412776,29021.73219,153.7,27.5,2.5
RZ-153CI,Gutekunst,0.356,192.814,431.741573,33179.33989,153.7,27.5,2.5
RZ-153CX,Gutekunst,0.354,193.582,434.180791,33366.79379,153.7,27.5,2.5
RZ-153DI,Gutekunst,0.315,217.202,487.9365079,37497.92063,153.7,27.5,2.5
RZ-153DX,Gutekunst,0.314,217.97,489.4904459,37617.34076,153.7,27.5,2.5
RZ-153EI,Gutekunst,0.282,241.589,545.035461,41885.97518,153.7,27.5,2.5
RZ-153EX,Gutekunst,0.281,242.357,546.975089,42035.03559,153.7,27.5,2.5
RZ-153I,Gutekunst,0.554,125.748,277.4368231,21321.01986,153.7,27.5,2.5
RZ-153X,Gutekunst,0.55,126.517,279.4545455,21476.08182,153.7,27.5,2.5
